name,country code
Uregare House,IE
Urbalreagh,IE
Upton House,IE
Upton,IE
Upper Court,IE
Upperchurch,IE
Unshin River,IE
Lough Unshin,IE
Unionhall,IE
Umrycam,IE
Ummeryroe,IE
Umma House,IE
Umfin Island,IE
Ullard,IE
Lough Ugga Beg,IE
Tyrrelstown House,IE
Tyrrellspass,IE
Tyredagh Castle,IE
Tyrcallen,IE
Tynagh,IE
Tyholland Bridge,IE
Two Rock Mountain,IE
Twomileditch,IE
Twomileborris,IE
The Twelve Pins,IE
Tuskar Rock,IE
Turvey House,IE
Turners Rock,IE
Turloughmore,IE
Turlough,IE
Turkstown,IE
Turbotston,IE
Turbot Island,IE
Tulsk,IE
Tullyvin House,IE
Tullyvin,IE
Tullynascreen,IE
Tullynahinnera,IE
Tullymurray,IE
Tullymore,IE
Tully Lough,IE
Tullylease,IE
Tullyleague,IE
Tullyglass House,IE
Tullycreen Upper,IE
Tullycreen Lower,IE
Tullycanna,IE
Tullybrook,IE
Tullyard,IE
Tullyallen,IE
Tully,IE
Tullow,IE
Tullira Castle,IE
Tullig Point,IE
Tullig,IE
Tullaroan,IE
Tullamore River,IE
Tullamore,IE
Tullaher Lough,IE
Tullagh Point,IE
Tullaghought,IE
Tullagher,IE
Tullagh Bay,IE
Tullaghanoge,IE
Tullaghan Bay,IE
Tullaghan,IE
Tulla,IE
Tudenham Park,IE
Tubber,IE
Tuam,IE
Truskmore,IE
Trusk Lough,IE
Trusklieve,IE
Trubley Castle,IE
Trough,IE
Triogue River,IE
Trimoge River,IE
Trim,IE
The Triangle,IE
Tremone Bay,IE
Tremblestown River,IE
Treantagh,IE
Trawmore Bay,IE
Trawenagh Bay,IE
Trawbreaga Bay,IE
Traverston House,IE
Tranarossan Bay,IE
Tranagh,IE
Tramore Bay,IE
Trá Mhór,IE
Tralong Bay,IE
Tralee Bay,IE
Tralee,IE
Tracton,IE
Tracarta,IE
Trabolgan House,IE
Townley Hall,IE
Towerhill House,IE
Tower,IE
Tourin,IE
Tourig River,IE
Tory Sound,IE
Tory Island,IE
The Tor Rocks,IE
Torneady Point,IE
Tormore Island,IE
Torc Mountain,IE
Torc Cascade,IE
Toormore Bay,IE
Toormore,IE
Toormakeady Lodge,IE
Toormakeady,IE
Tooreeny,IE
Tooreens,IE
Tooreengarriv,IE
Tooreendonnell,IE
Tooreencahill,IE
Tooreenbrien Bridge,IE
Tooreen,IE
Tooravoola,IE
Tooraneena,IE
Toor,IE
Toon River,IE
Toonagh House,IE
Toomyvara,IE
Toomona House,IE
Toomard,IE
Tooban Junction,IE
Tonlegee House,IE
Tonduff,IE
Tomies Mountain,IE
Tomhaggard,IE
Tuamgraney,IE
Tombrack,IE
Tomacurry,IE
Tolka River,IE
Toghermore,IE
The Togher,IE
Togher,IE
Roundwood,IE
Toem,IE
Toe Head Bay,IE
Toe Head,IE
Tobertynan House,IE
Toberscanavan,IE
Toberdan,IE
Tobercurry,IE
Tober,IE
Tivoli House,IE
Tirraboy,IE
Tirneevin,IE
Tiragarvan,IE
South Tipperary,IE
North Tipperary,IE
County Tipperary,IE
Tipperary,IE
Tintrim House,IE
Tintern Abbey,IE
Tinny Park,IE
Tinnaslatty House,IE
Timnapark House,IE
Tinnahinch,IE
Tinnaglogh,IE
Tinkerslane,IE
Tincoora,IE
Tinarana House,IE
Tinalira,IE
Tinahely,IE
Timoney Park,IE
Timolin,IE
Timoleague,IE
Timahoe,IE
Tiltinbane,IE
Tievemore House,IE
Tievemore,IE
Tiaquin,IE
Thurles,IE
The Three Sisters,IE
The Pigeons,IE
Threecastles House,IE
Three Castle Head,IE
Thomastown Park,IE
Thomaston Park,IE
Thomastown Castle,IE
Thomastown,IE
Thomas Street,IE
Tervoe House,IE
Terryglass,IE
Termon River,IE
Termon Hill,IE
Termonfeckin,IE
Termon Cottage,IE
Termoncarragh,IE
Termonbarry,IE
Terenure,IE
Templetuohy,IE
Templemore,IE
Templehouse Lake,IE
Temple House,IE
Templebreedy,IE
Templeboy,IE
Templebodan,IE
Temple,IE
Temora House,IE
Teltown,IE
Teeromoyle,IE
Teerelton,IE
Teeranearagh,IE
Teelin Bay,IE
Teelin,IE
Tedavnet,IE
Tearaght Island,IE
River Tay,IE
Lough Tay,IE
Tawnyinah,IE
Tawny Bay,IE
Tawnyard Lough,IE
Tawny,IE
Tawnawully Mountains,IE
Tawin Island,IE
Taurbeg,IE
Taur,IE
Tarsaghaunmore River,IE
Tarmon,IE
Tarbert House,IE
Tarbert,IE
Tara Hill,IE
Tara Hall,IE
Hill of Tara,IE
River Tar,IE
Lough Tap,IE
Tanrego House,IE
Tankersley House,IE
Tang River,IE
Tang,IE
Lough Talt,IE
Tallyho Lodge,IE
Tallyho,IE
Tallow Road Station,IE
Tallowbridge,IE
Tallow,IE
Tallanstown,IE
Tallaght,IE
Talbotstown House,IE
Talbot Hall,IE
Tahilla,IE
Tagoat,IE
Taghshinny,IE
Taghsheenod,IE
Taghmon Castle,IE
Taghmon,IE
Tacumshin Lake,IE
Lough Tacker,IE
Table Mountain,IE
Sybil Point,IE
Swords,IE
Swines Head,IE
Swinford,IE
River Swilly,IE
Lough Swilly,IE
The Sweep,IE
Swanlinbar,IE
Swan,IE
Sutton,IE
Sunvale,IE
Lough Sunderlin,IE
Summerville,IE
Summerhill House,IE
Summerhill,IE
Summer Cove,IE
Sullane River,IE
Suir Mount,IE
Suir Island,IE
Suircastle House,IE
River Suir,IE
Sugarloaf Mountain,IE
Sugar Hill,IE
River Suck,IE
Sturrall,IE
Stuake,IE
Stroove,IE
Strokestown House,IE
Strokestown,IE
Street,IE
Streek Head,IE
Streedagh Point,IE
Streedagh House,IE
Streamstown Bay,IE
Streamstown,IE
Strawberryhill House,IE
Stratford,IE
Stranorlar,IE
Strand,IE
Strancally House,IE
Strancally Castle,IE
Straid River,IE
Straffan,IE
Stradone House,IE
Stradone,IE
Strade,IE
Stradbally River,IE
Stradbally Hall,IE
Stradbally,IE
Stowlin House,IE
Stookaruddan,IE
Stonyford,IE
Stonybatter,IE
Stonetown,IE
Stonepark,IE
Stonehall,IE
Stonefield,IE
Stone Bridge,IE
Stokestown,IE
Stillorgan,IE
Stephenstown House,IE
Stepaside,IE
Station Island,IE
Stamullin,IE
Stags of Broad Haven,IE
Stags of Bofin,IE
The Stag Rocks,IE
Stacks Mountains,IE
Stabannan,IE
Sruwaddacon Bay,IE
Srahmore River,IE
Srahmore,IE
Srahlaghy,IE
Srahduggaun,IE
Srah,IE
Spring Valley,IE
Springfield Castle,IE
Springfield,IE
Sporthouse Cross Roads,IE
Spittle,IE
Spink,IE
Spike Island,IE
Spiddal,IE
Spear Vale,IE
Spanish Point,IE
Spancelhill,IE
Spa,IE
River Sow,IE
Sovereign Islands,IE
Sovereign Island,IE
South Sound,IE
Southpark House,IE
Southhill,IE
Sorrel House,IE
Sorrelhill House,IE
Sopwell Hall,IE
Soppog,IE
Sonna House,IE
Somerville House,IE
Somerset House,IE
Solsborough House,IE
Snowhill House,IE
Sneem Harbour,IE
Sneem,IE
Slieve Snaght,IE
Smithstown House,IE
Smithborough,IE
Smerwick Harbour,IE
Smerwick,IE
Smearlagh River,IE
Smarmore Castle,IE
Slyne Head,IE
Slugga,IE
Slish Wood,IE
Sligo Bay,IE
Sligo,IE
Slievetooey,IE
Slieveroe,IE
Slievenamuck,IE
Slievenamon,IE
Slievenakilla,IE
Slievemore Point,IE
Slievemore,IE
Slieve Miskish Mountains,IE
Slieve Mish Mountains,IE
Slievekimalta,IE
Slieveglass,IE
Slievefelim Mountains,IE
Slievecarran,IE
Slievecallan,IE
Slieveboy,IE
Slieve Bloom Mountains,IE
Slievebane Bay,IE
Slieve Aughty Mountains,IE
Slieveardagh Hills,IE
Slevoir House,IE
Sleatygraigue,IE
Slea Head,IE
Slate River,IE
River Slaney,IE
Slane Castle,IE
Slane,IE
Slaheny River,IE
Slade,IE
Skycur House,IE
Skull Harbour,IE
Schull,IE
Skreeny House,IE
Skreen,IE
Screen,IE
Skibbereen,IE
Skerries Islands,IE
Skerries,IE
Skenakilla Cross Roads,IE
Skellig Rocks,IE
Skehanagh,IE
Lough Skean,IE
Skeagh Lough Upper,IE
Skeagh,IE
Skeaf House,IE
Lough Skannive,IE
Sixmilebridge,IE
Single Street,IE
Silver Stream,IE
Silver River,IE
Silvermines,IE
Silvermine Mountains,IE
Silver Hill,IE
Lough Sillan,IE
Siddan,IE
Shrule Castle,IE
Shrule,IE
Shronowen,IE
Shronell,IE
Shrone,IE
Shot Head,IE
Shiven River,IE
Shippool,IE
Shinrone,IE
Lough Shindilla,IE
Shillelagh,IE
Sheskin Lodge,IE
Sheshia,IE
Sherky Island,IE
Sherkin Island,IE
Sheriffhill,IE
Shercock,IE
Shenicks Island,IE
Shelton Abbey,IE
Shehy Mountain,IE
Sheffield,IE
Sheep Haven,IE
Sheen River,IE
Lough Sheelin,IE
Sheehills House,IE
Sheeanamore,IE
Shark Head,IE
Shanvally,IE
Shantonagh,IE
Shanow River,IE
Shannon View,IE
Shannon Harbour,IE
Shannon Hall,IE
Shannongrove House,IE
Shannon Grove,IE
Shannonbridge,IE
River Shannon,IE
Mouth of the Shannon,IE
Shannaghmore,IE
Shanlis Cross Roads,IE
Shanlaragh,IE
Shankill Castle,IE
Shankill,IE
Shanid Castle,IE
Shanganagh Junction,IE
Shanganagh Castle,IE
Shanballymore,IE
Shanbally House,IE
Shanbally Castle,IE
Shanbally,IE
Shanagolden,IE
Shanagh,IE
Shanagarry,IE
Shallee River,IE
Shaen House,IE
Shad Lough,IE
The Seven Stars,IE
The Seven Hogs,IE
Seven Heads Bay,IE
Seven Heads,IE
Seven Fathom Bank,IE
Sevenchurches,IE
The Seven Arches,IE
Seskinryan,IE
Seskinrea,IE
Seltannaveeny,IE
Sellerna Bay,IE
Seershin,IE
Seaweed Point,IE
Seaview House,IE
Seapark Point,IE
Sea Mount,IE
Seal Rocks,IE
Seafield House,IE
Scurmore House,IE
Lough Scur,IE
Scullogue Gap,IE
Scullane Point,IE
Scregg West,IE
Scregg House,IE
Scregg East,IE
Screeb Lodge,IE
Scramore Loughs,IE
Scramoge,IE
Scrahan,IE
Scrabby,IE
Scotstown,IE
Scotshouse,IE
Scilly,IE
Scattery Island,IE
Scartaglin,IE
Scarriff Bay,IE
River Scarriff,IE
Scarriff,IE
Scariff Island,IE
Scardaun,IE
Lough Scannive,IE
Scalp Mountain,IE
The Scalp,IE
Scalp,IE
Saundersville,IE
Saunders Court,IE
Sarsfieldscourt House,IE
Sarnaght,IE
Sarahville,IE
Santry,IE
Sandymount,IE
Sandy Ford,IE
Sandy Cove,IE
Sandeel Bay,IE
Samphire Island,IE
Saltmills,IE
Salt Hill,IE
Salterstown,IE
Saltee Islands,IE
Little Saltee,IE
Great Saltee,IE
Lough Salt,IE
Salrock,IE
Sallymount House,IE
Sally Gap,IE
Sallybrook Station,IE
Sallybrook,IE
Sallins,IE
Salisbury Lodge,IE
Salia,IE
Saleen Harbour,IE
Saleen,IE
Saivnose River,IE
Saint Thomas Island,IE
Saint Stephens Green Park,IE
Saints Island,IE
Patrickswell,IE
Saint Patricks Island,IE
Saint Mullins,IE
Saint Margarets House,IE
Saint Macdaras Island,IE
St Johnston,IE
Saint Johns Port,IE
Saint John’s Point,IE
Saint Johns Lough,IE
Saint Johns House,IE
Saint Finans Bay,IE
Saint Edmonds,IE
Saint Doolaghs,IE
Saint Clerans,IE
Saint Catherines,IE
Saint Brendans House,IE
Saint Brendans,IE
Saint Anns Wells,IE
Saint Anns Hill,IE
Saggart,IE
Safe Harbour,IE
Saddle Hill,IE
Saddle Head,IE
Ryves Castle,IE
Ryndville,IE
Rylane Cross,IE
Rye Water,IE
Ryehill,IE
Ryefield,IE
Rutland Island,IE
Russborough House,IE
Rushin House,IE
Slieve Rushen,IE
Rushbrooke,IE
An Ros,IE
Runnamoat House,IE
Rue Point,IE
Ruan,IE
Royaloak,IE
Royal Canal,IE
Roy,IE
Roxborough House,IE
Roxborough,IE
Rowls Aldworth,IE
Roundstone,IE
Roundfort,IE
Roughty River,IE
Rough Point,IE
Rosturk,IE
Rostellan,IE
Ross West,IE
Rosstemple Station,IE
Ross Port,IE
Ross Point,IE
Rossow River,IE
Rossnowlagh Upper,IE
Rossnowlagh Station,IE
Rossnowlagh Lower,IE
Rosnalee,IE
Rosnakill,IE
Rossmore Island,IE
Rossmore House,IE
Rossmore Castle,IE
Rossmore,IE
Ross Lodge,IE
Rosslare Strand,IE
Rosslare Point,IE
Rosslare House,IE
Rosslare Harbour,IE
Rosslare Bay,IE
Rosslare,IE
Ross Lake,IE
Rossinver,IE
Rossinan,IE
Ross House,IE
Rosshill Lodge,IE
Rosses Point,IE
The Rosses,IE
Rossenarra House,IE
Rossduff,IE
Rossdohan Island,IE
Ross Cross Roads,IE
Rosscarbery Bay,IE
Ross Carbery,IE
Rossbrin,IE
Rossbehy Point,IE
Rossbehy Creek,IE
Ross Bay,IE
Rossan Point,IE
Castle Ross,IE
Ross,IE
Rosroe Lough,IE
Rosmult,IE
Rosmuck,IE
Rosmore,IE
Rosmead House,IE
Roskeeragh Point,IE
Roskeeda,IE
Roshin,IE
Rosguill,IE
Rosenallis,IE
Rosemount,IE
Rosegarland House,IE
Rosdaul,IE
Roscrea,IE
Roscommon,IE
Rosborough,IE
Rosbercon,IE
Roosky,IE
Roonkeel,IE
Roonah Lough,IE
Rookwood,IE
Rokeby Hall,IE
Rogerstown Inlet,IE
Roesborough House,IE
Roebuck,IE
Lough Roe,IE
Rodena Bridge,IE
Rocky Island,IE
Rockville House,IE
Rockview House,IE
Rockvale,IE
Rockmills,IE
Rocklawn House,IE
Rockland,IE
Rock Island,IE
Rockingham House,IE
Rock House,IE
Rockhill,IE
Rockforest House,IE
Rockford House,IE
Rockfield House,IE
Rockfield,IE
Rocketts Castle,IE
Rockcorry,IE
Rockchapel,IE
Rockbarton House,IE
Rochfortbridge,IE
Rochestown,IE
Roches Point,IE
Roche Mount,IE
Roche House,IE
Robinstown,IE
Robertstown River,IE
Robertstown,IE
Roberts Head,IE
Roberts Cove,IE
Robe River,IE
Roaringwater Bay,IE
Roaninish,IE
Roancarrig More,IE
Roancarrig Beg,IE
Roadford,IE
Roachtown,IE
Riverstown,IE
Rivers Town,IE
Riverstick,IE
Riversdale House,IE
Riverchapel,IE
Cabin River,IE
Rinvyle Point,IE
Rinvyle House,IE
Rinvyle,IE
Rinville,IE
Rinroe Point,IE
Rinrawros Point,IE
Rinn River,IE
Rinn Lough,IE
Lough Rynn House,IE
Rinneen,IE
Rinnalea Point,IE
Rinnagonnaght,IE
Rinnafaghla Point,IE
Rinn,IE
Rinmore Point,IE
Ringwood House,IE
Ringville House,IE
Ringville,IE
Ringsend Gut,IE
Ringsend,IE
Ring Harbour,IE
Ringaskiddy Island,IE
Ringaskiddy,IE
Ringarogy Island,IE
Ringabella Bay,IE
Rinevella Bay,IE
Rineanna Point,IE
Rineanna,IE
River Riffey,IE
Ridge Point,IE
Ricketstown House,IE
Richmount Hill,IE
Richmond Harbour,IE
Richfort,IE
Richfield House,IE
Rhode,IE
Rheban Castle,IE
Reynella,IE
Rerrin,IE
Renmore House,IE
Renaghmore,IE
Releagh Bridge,IE
Releagh,IE
Relane Point,IE
Relaghbeg,IE
Reens,IE
Reenroe,IE
Reen Point,IE
Reen Lodge,IE
Reenard,IE
Reelan River,IE
Lough Ree,IE
Redhills,IE
Redhill,IE
Redgate,IE
Redforge Cross Roads,IE
Redcross River,IE
Redcross,IE
Red Castle,IE
Recess River,IE
Rear Cross,IE
Reanies Point,IE
Reanies Bay,IE
Reanascreena,IE
Reananerree,IE
Reaghstown,IE
Lough Reagh,IE
Lough Rea,IE
Ray River,IE
Rawros,IE
Ravensdale House,IE
Ravensdale,IE
The Raven Point,IE
Ratra House,IE
Ratoath,IE
Rathwire,IE
Rathvilly,IE
Rathurles House,IE
Rathtroane,IE
Rathsnagadan House,IE
Rathsallagh House,IE
Rath Riogh,IE
Rathpeacon House,IE
Rathpeacon,IE
Rathowen,IE
Rathnure,IE
Rathnew,IE
Rathnally,IE
Rathmullan Roadstead,IE
Rathmullan,IE
Rathmoyle House,IE
Rathmore House,IE
Rathmore,IE
Rathmolyon,IE
Rathmines and Rathgar Waterworks,IE
Rathmines,IE
Ramelton,IE
Rathmacknee House,IE
Rath Lough,IE
Rathlin O’Birne Island,IE
Rathlee Head,IE
Rathlaheen House,IE
Rathlackan,IE
Rathkenny,IE
Rathkeale,IE
Rath House,IE
Rathgranagher,IE
Rathgormuck,IE
Rathfran Bay,IE
Rathfeigh,IE
Rathfarnham,IE
Ratheskin,IE
Rathescar Cross Roads,IE
Rathescar,IE
Rathenny House,IE
Rathea,IE
Rathduff,IE
Rathdrum,IE
Rathdrinagh,IE
Rathdowney,IE
Rathdangan,IE
Rathcoursey,IE
Rathcor Upper,IE
Rathcormac,IE
Rathcor Lower,IE
Rathcore,IE
Rathcor,IE
Rathcoole Castle,IE
Rathcoole,IE
Rathcool,IE
Rathconrath,IE
Rathconnell Court,IE
Rathcolman,IE
Rathcline House,IE
Rathclarish,IE
Rathcabban,IE
Rathanna,IE
Rathangan,IE
Rath,IE
Rashenny,IE
Rasheen Wood,IE
Rappa Castle,IE
Rapla House,IE
Raphoe,IE
Rapemills,IE
Randalstown,IE
Ranaghroe Point,IE
Ramsgrange,IE
Ramsfort House,IE
Rampart,IE
Lough Ramor,IE
Ram Head,IE
Rake Street,IE
Rathkenny House,IE
Rainsford Lodge,IE
Rahinstown House,IE
Rahan,IE
Rahin House,IE
Rahillakeen,IE
Raheny,IE
Raheens,IE
Raheen House,IE
Raheen Cross Roads,IE
Raheen,IE
Rahasane House,IE
Raharney,IE
Rahans Lough,IE
Rahan Lodge,IE
Raghtin More,IE
The Rag,IE
Raford,IE
Racecourse Hall,IE
Rabbit Islands,IE
Quin,IE
Quilty,IE
Quignalahy,IE
Quigley’s Point,IE
Queenstown Junction Station,IE
Queensborough,IE
Quarrymount,IE
Quakers Cross Roads,IE
Quagmire River,IE
Purple Mountain,IE
Pulleen,IE
Puffin Sound,IE
Puffin Island,IE
Puckaun,IE
Prosperous,IE
Prior Park,IE
Prince Williams Seat,IE
Primrose Lodge,IE
Powerstown House,IE
Powerstown,IE
Powers Cross,IE
Powerscourt House,IE
Power Head,IE
Powellsborough Cross Roads,IE
Poulnamucky,IE
Poulnalour,IE
Poulacapple,IE
Potters River,IE
Porturlin,IE
Portumna Bay,IE
Portumna,IE
Portsalon,IE
Portroe,IE
Portrinard,IE
Portobello Harbour,IE
Portnoo,IE
Portnard House,IE
Portnalong,IE
Portnafrankagh,IE
Portmarnock,IE
Portmagee Channel,IE
Portmagee,IE
Port Lough,IE
Portloman,IE
Portlick Castle,IE
Portlaw,IE
Portlaoise,IE
Porthall Station,IE
Port Doon,IE
Portarlington,IE
Portaleen,IE
Portahack,IE
Portacloy Bay,IE
Portacloy,IE
Port,IE
Pollremon,IE
Pollmounty River,IE
Pollboy,IE
Pollaphuca Waterfall,IE
Pollaphuca Reservoir,IE
Pollan Bay,IE
The Pocket,IE
Pluck,IE
Platin Hall,IE
Plassy,IE
Piltown,IE
Pilltown House,IE
Pilltown,IE
The Pike,IE
Pig Island,IE
Pigeon House Harbour,IE
Pierpoint,IE
Pickle Point,IE
Phoenix Park,IE
Daingean,IE
Phepotstown House,IE
Pettigoe,IE
Peterswell,IE
Petersville,IE
Percy Mount,IE
Pedlars Cross Roads,IE
Peafield House,IE
Paulsworth,IE
Paulstown Castle,IE
Pass of Kilbride,IE
Pass House,IE
Passage West,IE
Passage East,IE
Partry Mountains,IE
Partry,IE
Parteen Villa,IE
Parsonstown House,IE
Parkmore Point,IE
Park,IE
Paradise House,IE
The Paps,IE
Palmerstown House,IE
Palmerstown Bridge,IE
Palmerston,IE
Pallaskenry,IE
Pallas House,IE
Pallasgreen,IE
Pallas Grean,IE
Pallas,IE
Palatine,IE
Palace House,IE
Palace East Junction,IE
Pakenham Hall,IE
Painestown,IE
Paddock,IE
Oyster Haven,IE
Owveg River,IE
Owvane River,IE
Ow River,IE
Owgarriff River,IE
Owey Sound,IE
Owey Island,IE
Owenwee River,IE
Owenur River,IE
Owentocker River,IE
Owentaraglin River,IE
Owenslieve River,IE
Owenroe River,IE
Owenreagh River,IE
Owenogarney River,IE
Owennayle River,IE
Owenmore River,IE
Owenkillew River,IE
Owenkeal River,IE
Oweniny River,IE
Owenglin River,IE
Owengarve Lough,IE
Owengar River,IE
Owengarriff River,IE
Owenea River,IE
Owenduff River,IE
Owenduff,IE
Owendalulleegh River,IE
Owencashla River,IE
Owencarrow River,IE
Owenbrin River,IE
Owenboy River,IE
Owenbeg River,IE
Owenavorragh River,IE
Owenator River,IE
Owenass River,IE
Lough Owel,IE
Avoca River,IE
Vale of Avoca,IE
Avoca,IE
Ovens,IE
Lough Ouver,IE
Ourtnagapple,IE
Oulart,IE
Oughterard,IE
Lough Oughter,IE
Oughter,IE
Oughtdarnid,IE
O’Sullivans Cascade,IE
Orthon Island,IE
Ormond View,IE
Oristown,IE
Oranmore Bay,IE
Oranmore,IE
Oran,IE
Oorid Lough,IE
Oolagh River,IE
Oola,IE
Onaght,IE
Omey Island,IE
Omeath,IE
O’Loughlins Castle,IE
Ollatrim River,IE
Old Twopothouse Cross Roads,IE
Old Town,IE
Oldtown,IE
Oldtown House,IE
Old Ross,IE
Oldleighlin,IE
Old Kilcullen,IE
Old Head of Kinsale,IE
Oldhead House,IE
Old Head,IE
Oldglass,IE
Oldcourt,IE
Oldchapel,IE
Oldcastle,IE
Oldbridge,IE
Oily River,IE
Oilgate,IE
Lough O’Grady,IE
Oghil House,IE
Oghil,IE
Lough O’Flynn,IE
Uíbh Fhailí,IE
O’Deas Castle,IE
O’Callaghansmills,IE
O’Briensbridge,IE
Oatfield House,IE
Oakport Lough,IE
Oakport House,IE
Oakpark House,IE
Oak Park,IE
Oakleypark,IE
Oakley Park,IE
Oakley House,IE
Oaklands House,IE
Oakhampton House,IE
Oakfield House,IE
Nursetown,IE
Nurney,IE
Nowen Hill,IE
Noughaval,IE
Nose of Howth,IE
North Wall Station,IE
North Sound,IE
North Ring,IE
Northlands,IE
Northgrove,IE
North Bull Island,IE
River Nore,IE
Port Noo,IE
Nohaval,IE
Nobber,IE
Ninemilehouse,IE
River Nier,IE
Nicker,IE
New Twopothouse Village,IE
Newtown Trim,IE
Newtown Sandes,IE
Newtown Mount Kennedy,IE
Newtown Monasterboice,IE
Newtownlynch,IE
Newtown Lodge,IE
Newtown House,IE
Newtown Gore,IE
Newtownfortescue,IE
Newtown Forbes,IE
Newtown Daly,IE
Newtown Cunningham,IE
Newtown Castle,IE
Newtownburke,IE
Newtownanner House,IE
New Town,IE
Newtown,IE
Newtownshandrum,IE
Newstone House,IE
New Ross,IE
New Quay,IE
Newport River,IE
Newport Bay,IE
Newport,IE
Newpark House,IE
Newpark,IE
Newmills,IE
Newmarket on Fergus,IE
Newmarket Court,IE
Newmarket,IE
New Inn,IE
Newinn,IE
Newhall House,IE
Newgrove House,IE
Newgrange House,IE
Newgrange,IE
Newfoundland Bay,IE
Newfort,IE
Newforest House,IE
Newcestown,IE
Newcastle House,IE
Newcastle,IE
Newcastle West,IE
Newbrook House,IE
Newbridge House,IE
Newbridge,IE
Droichead Nua,IE
Newbliss House,IE
Newbliss,IE
New Birmingham,IE
Newberry House,IE
Newberry Hall,IE
Newberry,IE
Newbawn,IE
Netley House,IE
Nethertown,IE
Nephin Beg Range,IE
Nephin,IE
Nenagh River,IE
Nenagh,IE
Nealstown,IE
Neale,IE
Navan Junction,IE
Navan,IE
Lough Naulla,IE
Naul,IE
Narraghmore,IE
Naran,IE
Nantinan House,IE
Lough Nanoge,IE
River Nanny,IE
Lough Naminna,IE
Lough Namanfin,IE
Lough Nalughraman,IE
Lough Nahillion,IE
Lough Nahanagan,IE
Nags Head,IE
Nagles Mountains,IE
Lough Nageltia,IE
Lough Nageage,IE
Lough Nagarrivhan,IE
Lough Nafooey,IE
Nadreegeel Lough,IE
Lough Nadarragh,IE
Nad,IE
Lough Nacung Upper,IE
Lough Nacung Lower,IE
Lough Nacorra,IE
Lough Nablahy,IE
Naas,IE
Myshall,IE
Mylerstown,IE
Mweenish Island,IE
Mweenish Bay,IE
Mweelrea,IE
Mweelaun Island,IE
Mutton Island,IE
Musheramore,IE
Murroogh,IE
Murrisk,IE
Murragh,IE
Murntown,IE
Muntervary,IE
Munster River,IE
Munster,IE
Munnilly House,IE
Munhin River,IE
Mungret,IE
Multyfarnham,IE
Multeen River,IE
Mulroy Bay,IE
Mulmosog Mountain,IE
Mulmosog House,IE
Mullycagh,IE
An Muileann gCearr,IE
Mullinavat,IE
Mullinahone,IE
Mullet Peninsula,IE
Mullawornia,IE
