name	loc_col
Tedavnet	(0, 8, 'LOC')
Tearaght Island	(0, 15, 'LOC')
River Tay	(0, 9, 'LOC')
Lough Tay	(0, 9, 'LOC')
Tawnyinah	(0, 9, 'LOC')
Tawny Bay	(0, 9, 'LOC')
Tawnyard Lough	(0, 14, 'LOC')
Tawny	(0, 5, 'LOC')
Tawnawully Mountains	(0, 20, 'LOC')
Tawin Island	(0, 12, 'LOC')
Taurbeg	(0, 7, 'LOC')
Taur	(0, 4, 'LOC')
Tarsaghaunmore River	(0, 20, 'LOC')
Tarmon	(0, 6, 'LOC')
Tarbert House	(0, 13, 'LOC')
Tarbert	(0, 7, 'LOC')
Tara Hill	(0, 9, 'LOC')
Tara Hall	(0, 9, 'LOC')
Hill of Tara	(0, 12, 'LOC')
River Tar	(0, 9, 'LOC')
Lough Tap	(0, 9, 'LOC')
Tanrego House	(0, 13, 'LOC')
Tankersley House	(0, 16, 'LOC')
Tang River	(0, 10, 'LOC')
Tang	(0, 4, 'LOC')
Lough Talt	(0, 10, 'LOC')
Tallyho Lodge	(0, 13, 'LOC')
Tallyho	(0, 7, 'LOC')
Tallow Road Station	(0, 19, 'LOC')
Tallowbridge	(0, 12, 'LOC')
Tallow	(0, 6, 'LOC')
Tallanstown	(0, 11, 'LOC')
Tallaght	(0, 8, 'LOC')
Talbotstown House	(0, 17, 'LOC')
Talbot Hall	(0, 11, 'LOC')
Tahilla	(0, 7, 'LOC')
Tagoat	(0, 6, 'LOC')
Taghshinny	(0, 10, 'LOC')
Taghsheenod	(0, 11, 'LOC')
Taghmon Castle	(0, 14, 'LOC')
Taghmon	(0, 7, 'LOC')
Tacumshin Lake	(0, 14, 'LOC')
Lough Tacker	(0, 12, 'LOC')
Table Mountain	(0, 14, 'LOC')
Sybil Point	(0, 11, 'LOC')
Swords	(0, 6, 'LOC')
Swines Head	(0, 11, 'LOC')
Swinford	(0, 8, 'LOC')
River Swilly	(0, 12, 'LOC')
Lough Swilly	(0, 12, 'LOC')
The Sweep	(0, 9, 'LOC')
Swanlinbar	(0, 10, 'LOC')
Swan	(0, 4, 'LOC')
Sutton	(0, 6, 'LOC')
Sunvale	(0, 7, 'LOC')
Lough Sunderlin	(0, 15, 'LOC')
Summerville	(0, 11, 'LOC')
Summerhill House	(0, 16, 'LOC')
Summerhill	(0, 10, 'LOC')
Summer Cove	(0, 11, 'LOC')
Sullane River	(0, 13, 'LOC')
Suir Mount	(0, 10, 'LOC')
Suir Island	(0, 11, 'LOC')
Suircastle House	(0, 16, 'LOC')
River Suir	(0, 10, 'LOC')
Sugarloaf Mountain	(0, 18, 'LOC')
Sugar Hill	(0, 10, 'LOC')
River Suck	(0, 10, 'LOC')
Sturrall	(0, 8, 'LOC')
Stuake	(0, 6, 'LOC')
Stroove	(0, 7, 'LOC')
Strokestown House	(0, 17, 'LOC')
Strokestown	(0, 11, 'LOC')
Street	(0, 6, 'LOC')
Streek Head	(0, 11, 'LOC')
Streedagh Point	(0, 15, 'LOC')
Streedagh House	(0, 15, 'LOC')
Streamstown Bay	(0, 15, 'LOC')
Streamstown	(0, 11, 'LOC')
Strawberryhill House	(0, 20, 'LOC')
Stratford	(0, 9, 'LOC')
Stranorlar	(0, 10, 'LOC')
Strand	(0, 6, 'LOC')
Strancally House	(0, 16, 'LOC')
Strancally Castle	(0, 17, 'LOC')
Straid River	(0, 12, 'LOC')
Straffan	(0, 8, 'LOC')
Stradone House	(0, 14, 'LOC')
Stradone	(0, 8, 'LOC')
Strade	(0, 6, 'LOC')
Stradbally River	(0, 16, 'LOC')
Stradbally Hall	(0, 15, 'LOC')
Stradbally	(0, 10, 'LOC')
Stowlin House	(0, 13, 'LOC')
Stookaruddan	(0, 12, 'LOC')
Stonyford	(0, 9, 'LOC')
Stonybatter	(0, 11, 'LOC')
Stonetown	(0, 9, 'LOC')
Stonepark	(0, 9, 'LOC')
Stonehall	(0, 9, 'LOC')
Stonefield	(0, 10, 'LOC')
Stone Bridge	(0, 12, 'LOC')
Stokestown	(0, 10, 'LOC')
Stillorgan	(0, 10, 'LOC')
Stephenstown House	(0, 18, 'LOC')
Stepaside	(0, 9, 'LOC')
Station Island	(0, 14, 'LOC')
Stamullin	(0, 9, 'LOC')
Stags of Broad Haven	(0, 20, 'LOC')
Stags of Bofin	(0, 14, 'LOC')
The Stag Rocks	(0, 14, 'LOC')
Stacks Mountains	(0, 16, 'LOC')
Stabannan	(0, 9, 'LOC')
Sruwaddacon Bay	(0, 15, 'LOC')
Srahmore River	(0, 14, 'LOC')
Srahmore	(0, 8, 'LOC')
Srahlaghy	(0, 9, 'LOC')
Srahduggaun	(0, 11, 'LOC')
Srah	(0, 4, 'LOC')
Spring Valley	(0, 13, 'LOC')
Springfield Castle	(0, 18, 'LOC')
Springfield	(0, 11, 'LOC')
Sporthouse Cross Roads	(0, 22, 'LOC')
Spittle	(0, 7, 'LOC')
Spink	(0, 5, 'LOC')
Spike Island	(0, 12, 'LOC')
Spiddal	(0, 7, 'LOC')
Spear Vale	(0, 10, 'LOC')
Spanish Point	(0, 13, 'LOC')
Spancelhill	(0, 11, 'LOC')
Spa	(0, 3, 'LOC')
River Sow	(0, 9, 'LOC')
Sovereign Islands	(0, 17, 'LOC')
Sovereign Island	(0, 16, 'LOC')
South Sound	(0, 11, 'LOC')
Southpark House	(0, 15, 'LOC')
Southhill	(0, 9, 'LOC')
Sorrel House	(0, 12, 'LOC')
Sorrelhill House	(0, 16, 'LOC')
Sopwell Hall	(0, 12, 'LOC')
Soppog	(0, 6, 'LOC')
Sonna House	(0, 11, 'LOC')
Somerville House	(0, 16, 'LOC')
Somerset House	(0, 14, 'LOC')
Solsborough House	(0, 17, 'LOC')
Snowhill House	(0, 14, 'LOC')
Sneem Harbour	(0, 13, 'LOC')
Sneem	(0, 5, 'LOC')
Slieve Snaght	(0, 13, 'LOC')
Smithstown House	(0, 16, 'LOC')
Smithborough	(0, 12, 'LOC')
Smerwick Harbour	(0, 16, 'LOC')
Smerwick	(0, 8, 'LOC')
Smearlagh River	(0, 15, 'LOC')
Smarmore Castle	(0, 15, 'LOC')
Slyne Head	(0, 10, 'LOC')
Slugga	(0, 6, 'LOC')
Slish Wood	(0, 10, 'LOC')
Sligo Bay	(0, 9, 'LOC')
Sligo	(0, 5, 'LOC')
Slievetooey	(0, 11, 'LOC')
Slieveroe	(0, 9, 'LOC')
Slievenamuck	(0, 12, 'LOC')
Slievenamon	(0, 11, 'LOC')
Slievenakilla	(0, 13, 'LOC')
Slievemore Point	(0, 16, 'LOC')
Slievemore	(0, 10, 'LOC')
Slieve Miskish Mountains	(0, 24, 'LOC')
Slieve Mish Mountains	(0, 21, 'LOC')
Slievekimalta	(0, 13, 'LOC')
Slieveglass	(0, 11, 'LOC')
Slievefelim Mountains	(0, 21, 'LOC')
Slievecarran	(0, 12, 'LOC')
Slievecallan	(0, 12, 'LOC')
Slieveboy	(0, 9, 'LOC')
Slieve Bloom Mountains	(0, 22, 'LOC')
Slievebane Bay	(0, 14, 'LOC')
Slieve Aughty Mountains	(0, 23, 'LOC')
Slieveardagh Hills	(0, 18, 'LOC')
Slevoir House	(0, 13, 'LOC')
Sleatygraigue	(0, 13, 'LOC')
Slea Head	(0, 9, 'LOC')
Slate River	(0, 11, 'LOC')
River Slaney	(0, 12, 'LOC')
Slane Castle	(0, 12, 'LOC')
Slane	(0, 5, 'LOC')
Slaheny River	(0, 13, 'LOC')
Slade	(0, 5, 'LOC')
Skycur House	(0, 12, 'LOC')
Skull Harbour	(0, 13, 'LOC')
Schull	(0, 6, 'LOC')
Skreeny House	(0, 13, 'LOC')
Skreen	(0, 6, 'LOC')
Screen	(0, 6, 'LOC')
Skibbereen	(0, 10, 'LOC')
Skerries Islands	(0, 16, 'LOC')
Skerries	(0, 8, 'LOC')
Skenakilla Cross Roads	(0, 22, 'LOC')
Skellig Rocks	(0, 13, 'LOC')
Skehanagh	(0, 9, 'LOC')
Lough Skean	(0, 11, 'LOC')
Skeagh Lough Upper	(0, 18, 'LOC')
Skeagh	(0, 6, 'LOC')
Skeaf House	(0, 11, 'LOC')
Lough Skannive	(0, 14, 'LOC')
Sixmilebridge	(0, 13, 'LOC')
Single Street	(0, 13, 'LOC')
Silver Stream	(0, 13, 'LOC')
Silver River	(0, 12, 'LOC')
Silvermines	(0, 11, 'LOC')
Silvermine Mountains	(0, 20, 'LOC')
Silver Hill	(0, 11, 'LOC')
Lough Sillan	(0, 12, 'LOC')
Siddan	(0, 6, 'LOC')
Shrule Castle	(0, 13, 'LOC')
Shrule	(0, 6, 'LOC')
Shronowen	(0, 9, 'LOC')
Shronell	(0, 8, 'LOC')
Shrone	(0, 6, 'LOC')
Shot Head	(0, 9, 'LOC')
Shiven River	(0, 12, 'LOC')
Shippool	(0, 8, 'LOC')
Shinrone	(0, 8, 'LOC')
Lough Shindilla	(0, 15, 'LOC')
Shillelagh	(0, 10, 'LOC')
Sheskin Lodge	(0, 13, 'LOC')
Sheshia	(0, 7, 'LOC')
Sherky Island	(0, 13, 'LOC')
Sherkin Island	(0, 14, 'LOC')
Sheriffhill	(0, 11, 'LOC')
Shercock	(0, 8, 'LOC')
Shenicks Island	(0, 15, 'LOC')
Shelton Abbey	(0, 13, 'LOC')
Shehy Mountain	(0, 14, 'LOC')
Sheffield	(0, 9, 'LOC')
Sheep Haven	(0, 11, 'LOC')
Sheen River	(0, 11, 'LOC')
Lough Sheelin	(0, 13, 'LOC')
Sheehills House	(0, 15, 'LOC')
Sheeanamore	(0, 11, 'LOC')
Shark Head	(0, 10, 'LOC')
Shanvally	(0, 9, 'LOC')
Shantonagh	(0, 10, 'LOC')
Shanow River	(0, 12, 'LOC')
Shannon View	(0, 12, 'LOC')
Shannon Harbour	(0, 15, 'LOC')
Shannon Hall	(0, 12, 'LOC')
Shannongrove House	(0, 18, 'LOC')
Shannon Grove	(0, 13, 'LOC')
Shannonbridge	(0, 13, 'LOC')
River Shannon	(0, 13, 'LOC')
Mouth of the Shannon	(0, 20, 'LOC')
Shannaghmore	(0, 12, 'LOC')
Shanlis Cross Roads	(0, 19, 'LOC')
Shanlaragh	(0, 10, 'LOC')
Shankill Castle	(0, 15, 'LOC')
Shankill	(0, 8, 'LOC')
Shanid Castle	(0, 13, 'LOC')
Shanganagh Junction	(0, 19, 'LOC')
Shanganagh Castle	(0, 17, 'LOC')
Shanballymore	(0, 13, 'LOC')
Shanbally House	(0, 15, 'LOC')
Shanbally Castle	(0, 16, 'LOC')
Shanbally	(0, 9, 'LOC')
Shanagolden	(0, 11, 'LOC')
Shanagh	(0, 7, 'LOC')
Shanagarry	(0, 10, 'LOC')
Shallee River	(0, 13, 'LOC')
Shaen House	(0, 11, 'LOC')
Shad Lough	(0, 10, 'LOC')
The Seven Stars	(0, 15, 'LOC')
The Seven Hogs	(0, 14, 'LOC')
Seven Heads Bay	(0, 15, 'LOC')
Seven Heads	(0, 11, 'LOC')
Seven Fathom Bank	(0, 17, 'LOC')
Sevenchurches	(0, 13, 'LOC')
The Seven Arches	(0, 16, 'LOC')
Seskinryan	(0, 10, 'LOC')
Seskinrea	(0, 9, 'LOC')
Seltannaveeny	(0, 13, 'LOC')
Sellerna Bay	(0, 12, 'LOC')
Seershin	(0, 8, 'LOC')
Seaweed Point	(0, 13, 'LOC')
Seaview House	(0, 13, 'LOC')
Seapark Point	(0, 13, 'LOC')
Sea Mount	(0, 9, 'LOC')
Seal Rocks	(0, 10, 'LOC')
Seafield House	(0, 14, 'LOC')
Scurmore House	(0, 14, 'LOC')
Lough Scur	(0, 10, 'LOC')
Scullogue Gap	(0, 13, 'LOC')
Scullane Point	(0, 14, 'LOC')
Scregg West	(0, 11, 'LOC')
Scregg House	(0, 12, 'LOC')
Scregg East	(0, 11, 'LOC')
Screeb Lodge	(0, 12, 'LOC')
Scramore Loughs	(0, 15, 'LOC')
Scramoge	(0, 8, 'LOC')
Scrahan	(0, 7, 'LOC')
Scrabby	(0, 7, 'LOC')
Scotstown	(0, 9, 'LOC')
Scotshouse	(0, 10, 'LOC')
Scilly	(0, 6, 'LOC')
Scattery Island	(0, 15, 'LOC')
Scartaglin	(0, 10, 'LOC')
Scarriff Bay	(0, 12, 'LOC')
River Scarriff	(0, 14, 'LOC')
Scarriff	(0, 8, 'LOC')
Scariff Island	(0, 14, 'LOC')
Scardaun	(0, 8, 'LOC')
Lough Scannive	(0, 14, 'LOC')
Scalp Mountain	(0, 14, 'LOC')
The Scalp	(0, 9, 'LOC')
Scalp	(0, 5, 'LOC')
Saundersville	(0, 13, 'LOC')
Saunders Court	(0, 14, 'LOC')
Sarsfieldscourt House	(0, 21, 'LOC')
Sarnaght	(0, 8, 'LOC')
Sarahville	(0, 10, 'LOC')
Santry	(0, 6, 'LOC')
Sandymount	(0, 10, 'LOC')
Sandy Ford	(0, 10, 'LOC')
Sandy Cove	(0, 10, 'LOC')
Sandeel Bay	(0, 11, 'LOC')
Samphire Island	(0, 15, 'LOC')
Saltmills	(0, 9, 'LOC')
Salt Hill	(0, 9, 'LOC')
Salterstown	(0, 11, 'LOC')
Saltee Islands	(0, 14, 'LOC')
Little Saltee	(0, 13, 'LOC')
Great Saltee	(0, 12, 'LOC')
Lough Salt	(0, 10, 'LOC')
Salrock	(0, 7, 'LOC')
Sallymount House	(0, 16, 'LOC')
Sally Gap	(0, 9, 'LOC')
Sallybrook Station	(0, 18, 'LOC')
Sallybrook	(0, 10, 'LOC')
Sallins	(0, 7, 'LOC')
Salisbury Lodge	(0, 15, 'LOC')
