street_name	loc_col
ALBERT COURT EAST	(0, 17, 'LOC')
ALBERT PLACE EAST	(0, 17, 'LOC')
ALBERT PLACE WEST	(0, 17, 'LOC')
ALBERT TERRACE	(0, 14, 'LOC')
ALDBOROUGH PARADE	(0, 17, 'LOC')
ALDBOROUGH PLACE	(0, 16, 'LOC')
ALDBOROUGH SQUARE	(0, 17, 'LOC')
ALDRIN WALK	(0, 11, 'LOC')
ALEXANDRA TERRACE	(0, 17, 'LOC')
ALEXANDER TERRACE	(0, 17, 'LOC')
ALEXANDRA TERRACE	(0, 17, 'LOC')
ALFIE BYRNE ROAD	(0, 16, 'LOC')
ALL SAINTS DRIVE	(0, 16, 'LOC')
ALL SAINTS PARK	(0, 15, 'LOC')
ALL SAINTS PARK	(0, 15, 'LOC')
ALL SAINTS ROAD	(0, 15, 'LOC')
ALLINGHAM STREET	(0, 16, 'LOC')
ALMA TERRACE	(0, 12, 'LOC')
ALMEIDA AVENUE	(0, 14, 'LOC')
AMIENS STREET	(0, 13, 'LOC')
ANGLESEA ROAD	(0, 13, 'LOC')
ANGLESEA ROW	(0, 12, 'LOC')
ANGLESEA STREET	(0, 15, 'LOC')
ANNA VILLA	(0, 10, 'LOC')
ANNADALE AVENUE	(0, 15, 'LOC')
ANNADALE CRESCENT	(0, 17, 'LOC')
ANNADALE DRIVE	(0, 14, 'LOC')
ANNADALE DRIVE	(0, 14, 'LOC')
ANNALY ROAD	(0, 11, 'LOC')
ANNALY ROAD	(0, 11, 'LOC')
ANNAMOE DRIVE	(0, 13, 'LOC')
ANNAMOE PARADE	(0, 14, 'LOC')
ANNAMOE PARK	(0, 12, 'LOC')
ANNAMOE ROAD	(0, 12, 'LOC')
ANNAMOE TERRACE	(0, 15, 'LOC')
ANNAMOE TERRACE	(0, 15, 'LOC')
ANNE'S LANE	(0, 11, 'LOC')
ANNE STREET NORTH	(0, 17, 'LOC')
ANNE STREET SOUTH	(0, 17, 'LOC')
ANNER ROAD	(0, 10, 'LOC')
ANNESLEY AVENUE	(0, 15, 'LOC')
ANNESLEY BRIDGE ROAD	(0, 20, 'LOC')
ANNESLEY PARK	(0, 13, 'LOC')
ANNESLEY PLACE	(0, 14, 'LOC')
APPIAN WAY	(0, 10, 'LOC')
APOLLO WAY	(0, 10, 'LOC')
ARBOUR HILL	(0, 11, 'LOC')
ARBOUR PLACE	(0, 12, 'LOC')
ARBOUR TERRACE	(0, 14, 'LOC')
ARBUTUS AVENUE	(0, 14, 'LOC')
ARBUTUS PLACE	(0, 13, 'LOC')
ARD NA MEALA	(0, 12, 'LOC')
ARDPATRICK ROAD	(0, 15, 'LOC')
ARD RI ROAD	(0, 11, 'LOC')
ARD RI PLACE	(0, 12, 'LOC')
ARDAGH ROAD	(0, 11, 'LOC')
ARDARA AVENUE	(0, 13, 'LOC')
ARDBEG CRESCENT	(0, 15, 'LOC')
ARDBEG DRIVE	(0, 12, 'LOC')
ARDBEG PARK	(0, 11, 'LOC')
ARDBEG ROAD	(0, 11, 'LOC')
ARDCOLLUM AVENUE	(0, 16, 'LOC')
ARDEE ROAD	(0, 10, 'LOC')
ARDEE STREET	(0, 12, 'LOC')
ARDEE STREET	(0, 12, 'LOC')
ARDILAUN ROAD	(0, 13, 'LOC')
ARDILAUN ROAD	(0, 13, 'LOC')
ARDLEA ROAD	(0, 11, 'LOC')
ARDMORE AVENUE	(0, 14, 'LOC')
ARDMORE CLOSE	(0, 13, 'LOC')
ARDMORE CRESCENT	(0, 16, 'LOC')
ARDMORE DRIVE	(0, 13, 'LOC')
ARDMORE GROVE	(0, 13, 'LOC')
ARDMORE PARK	(0, 12, 'LOC')
ARGYLE ROAD	(0, 11, 'LOC')
ARKLOW STREET	(0, 13, 'LOC')
ARMAGH ROAD	(0, 11, 'LOC')
ARMAGH ROAD	(0, 11, 'LOC')
ARMSTRONG STREET	(0, 16, 'LOC')
ARMSTRONG WALK	(0, 14, 'LOC')
ARNOTT STREET	(0, 13, 'LOC')
ARRAN QUAY	(0, 10, 'LOC')
ARRAN ROAD	(0, 10, 'LOC')
ARRAN STREET EAST	(0, 17, 'LOC')
ARRAN STREET WEST	(0, 17, 'LOC')
ARRANMORE AVENUE	(0, 16, 'LOC')
ARRANMORE ROAD	(0, 14, 'LOC')
ARTANE CASTLE SERVICE ROAD	(0, 26, 'LOC')
ASDILL'S ROW	(0, 12, 'LOC')
ASH STREET	(0, 10, 'LOC')
ASHBROOK	(0, 8, 'LOC')
ASHBROOK	(0, 8, 'LOC')
ASHCROFT	(0, 8, 'LOC')
ASHDALE AVENUE	(0, 14, 'LOC')
ASHDALE GARDENS	(0, 15, 'LOC')
ASHDALE PARK	(0, 12, 'LOC')
ASHDALE ROAD	(0, 12, 'LOC')
ASHFIELD AVENUE	(0, 15, 'LOC')
ASHFIELD PARK	(0, 13, 'LOC')
ASHFIELD ROAD	(0, 13, 'LOC')
ASHFIELD ROAD	(0, 13, 'LOC')
ASHFORD COTTAGES	(0, 16, 'LOC')
ASHFORD PLACE	(0, 13, 'LOC')
ASHFORD STREET	(0, 14, 'LOC')
ASHINGTON AVENUE	(0, 16, 'LOC')
ASHINGTON CLOSE	(0, 15, 'LOC')
ASHINGTON COURT	(0, 15, 'LOC')
ASHINGTON CRESCENT	(0, 18, 'LOC')
ASHINGTON DALE	(0, 14, 'LOC')
ASHINGTON GARDENS	(0, 17, 'LOC')
ASHINGTON GREEN	(0, 15, 'LOC')
ASHINGTON GROVE	(0, 15, 'LOC')
ASHINGTON HEATH	(0, 15, 'LOC')
ASHINGTON MEWS	(0, 14, 'LOC')
ASHINGTON PARK	(0, 14, 'LOC')
ASHINGTON RISE	(0, 14, 'LOC')
ASHLING CLOSE	(0, 13, 'LOC')
ASHTOWN GROVE	(0, 13, 'LOC')
ASHTOWN ROAD	(0, 12, 'LOC')
ASHWORTH PLACE	(0, 14, 'LOC')
ASTON PLACE	(0, 11, 'LOC')
ASTON QUAY	(0, 10, 'LOC')
ATHLUMNEY VILLAS	(0, 16, 'LOC')
AUBURN AVENUE	(0, 13, 'LOC')
AUBURN ROAD	(0, 11, 'LOC')
AUBURN STREET	(0, 13, 'LOC')
AUBURN VILLAS	(0, 13, 'LOC')
AUBURN WALK	(0, 11, 'LOC')
AUGHAVANNAGH ROAD	(0, 17, 'LOC')
AUGHRIM COURT	(0, 13, 'LOC')
AUGHRIM LANE	(0, 12, 'LOC')
AUGHRIM PLACE	(0, 13, 'LOC')
AUGHRIM STREET	(0, 14, 'LOC')
AUGHRIM STREET	(0, 14, 'LOC')
AULDEN GRANGE	(0, 13, 'LOC')
AUNGIER LANE	(0, 12, 'LOC')
AUNGIER PLACE	(0, 13, 'LOC')
AUNGIER STREET	(0, 14, 'LOC')
AUSTINS COTTAGES	(0, 16, 'LOC')
AVE MARIA ROAD	(0, 14, 'LOC')
AVENUE ROAD	(0, 11, 'LOC')
AVONDALE AVENUE	(0, 15, 'LOC')
AVONDALE PARK	(0, 13, 'LOC')
AVONDALE ROAD	(0, 13, 'LOC')
AYREFIELD AVENUE	(0, 16, 'LOC')
AYREFIELD COURT	(0, 15, 'LOC')
AYREFIELD DRIVE	(0, 15, 'LOC')
AYREFIELD GROVE	(0, 15, 'LOC')
AYREFIELD PARK	(0, 14, 'LOC')
AYREFIELD PLACE	(0, 15, 'LOC')
AYREFIELD ROAD	(0, 14, 'LOC')
BACHELORS WALK	(0, 14, 'LOC')
BACHELORS WAY	(0, 13, 'LOC')
BACK LANE	(0, 9, 'LOC')
BAGGOT CLOSE	(0, 12, 'LOC')
BAGGOT COURT	(0, 12, 'LOC')
BAGGOT LANE	(0, 11, 'LOC')
BAGGOT ROAD	(0, 11, 'LOC')
BAGGOT ROAD	(0, 11, 'LOC')
BAGGOT STREET LOWER	(0, 19, 'LOC')
BAGGOT STREET LOWER	(0, 19, 'LOC')
BAGGOT STREET LOWER	(0, 19, 'LOC')
BAGGOT STREET UPPER	(0, 19, 'LOC')
BAGGOT STREET UPPER	(0, 19, 'LOC')
BAGGOTRATH PLACE	(0, 16, 'LOC')
BAILEY'S ROW	(0, 12, 'LOC')
BALBUTCHER DRIVE	(0, 16, 'LOC')
BALBUTCHER LANE	(0, 15, 'LOC')
BALBUTCHER WAY	(0, 14, 'LOC')
BALCURRIS GARDENS	(0, 17, 'LOC')
BALCURRIS ROAD	(0, 14, 'LOC')
BALFE AVENUE	(0, 12, 'LOC')
BALFE ROAD	(0, 10, 'LOC')
BALFE ROAD EAST	(0, 15, 'LOC')
BALFE STREET	(0, 12, 'LOC')
BALLS LANE	(0, 10, 'LOC')
BALLSBRIDGE AVENUE	(0, 18, 'LOC')
BALLSBRIDGE PARK	(0, 16, 'LOC')
BALLSBRIDGE TERRACE	(0, 19, 'LOC')
BALLYBOGGAN ROAD	(0, 16, 'LOC')
BALLYBOUGH AVENUE	(0, 17, 'LOC')
BALLYBOUGH COTTAGES	(0, 19, 'LOC')
BALLYBOUGH COURT	(0, 16, 'LOC')
BALLYBOUGH LANE	(0, 15, 'LOC')
BALLYBOUGH ROAD	(0, 15, 'LOC')
BALLYFERMOT AVENUE	(0, 18, 'LOC')
BALLYFERMOT CRESCENT	(0, 20, 'LOC')
BALLYFERMOT DRIVE	(0, 17, 'LOC')
BALLYFERMOT PARADE	(0, 18, 'LOC')
BALLYFERMOT ROAD	(0, 16, 'LOC')
BALLYFERMOT ROAD	(0, 16, 'LOC')
BALLYFERMOT ROAD	(0, 16, 'LOC')
BALLYFERMOT ROAD	(0, 16, 'LOC')
BALLYGALL AVENUE	(0, 16, 'LOC')
BALLYGALL CRESCENT	(0, 18, 'LOC')
BALLYGALL CRESCENT	(0, 18, 'LOC')
BALLYGALL PARADE	(0, 16, 'LOC')
BALLYGALL PLACE	(0, 15, 'LOC')
BALLYGALL ROAD EAST	(0, 19, 'LOC')
BALLYGALL ROAD EAST	(0, 19, 'LOC')
BALLYGALL ROAD WEST	(0, 19, 'LOC')
BALLYGALL ROAD WEST	(0, 19, 'LOC')
BALLYGALL ROAD WEST	(0, 19, 'LOC')
BALLYHOY AVENUE	(0, 15, 'LOC')
BALLYMUN ROAD	(0, 13, 'LOC')
BALLYMUN ROAD	(0, 13, 'LOC')
BALLYNEETY ROAD	(0, 15, 'LOC')
BALLYSHANNON AVENUE	(0, 19, 'LOC')
BALLYSHANNON AVENUE	(0, 19, 'LOC')
BALLYSHANNON ROAD	(0, 17, 'LOC')
BALLYSHANNON ROAD	(0, 17, 'LOC')
BANGOR DRIVE	(0, 12, 'LOC')
BANGOR ROAD	(0, 11, 'LOC')
BANGOR ROAD	(0, 11, 'LOC')
BANN ROAD	(0, 9, 'LOC')
BANNAVILLE	(0, 10, 'LOC')
BANNOW ROAD	(0, 11, 'LOC')
BANNOW ROAD	(0, 11, 'LOC')
BANTRY ROAD	(0, 11, 'LOC')
BARGY ROAD	(0, 10, 'LOC')
BARNAMORE CRESCENT	(0, 18, 'LOC')
BARNAMORE GROVE	(0, 15, 'LOC')
BARNAMORE PARK	(0, 14, 'LOC')
BARRACK LANE	(0, 12, 'LOC')
BARRACK LANE	(0, 12, 'LOC')
BARRON PLACE	(0, 12, 'LOC')
BARROW ROAD	(0, 11, 'LOC')
BARROW STREET	(0, 13, 'LOC')
BARROW STREET	(0, 13, 'LOC')
BARRY AVENUE	(0, 12, 'LOC')
BARRY CLOSE	(0, 11, 'LOC')
BARRY DRIVE	(0, 11, 'LOC')
BARRY GREEN	(0, 11, 'LOC')
BARRY PARK	(0, 10, 'LOC')
BARRY ROAD	(0, 10, 'LOC')
BARRYSCOURT ROAD	(0, 16, 'LOC')
BARRYSCOURT ROAD	(0, 16, 'LOC')
BARRYSCOURT ROAD	(0, 16, 'LOC')
BASIN STREET LOWER	(0, 18, 'LOC')
BASIN STREET UPPER	(0, 18, 'LOC')
BASS PLACE	(0, 10, 'LOC')
BATH AVENUE	(0, 11, 'LOC')
BATH AVENUE GARDENS	(0, 19, 'LOC')
BATH AVENUE PLACE	(0, 17, 'LOC')
BATH LANE	(0, 9, 'LOC')
BATH STREET	(0, 11, 'LOC')
BAYMOUNT PARK	(0, 13, 'LOC')
BAYVIEW AVENUE	(0, 14, 'LOC')
BEACH AVENUE	(0, 12, 'LOC')
BEACH DRIVE	(0, 11, 'LOC')
BEACH ROAD	(0, 10, 'LOC')
BEAUMONT CRESCENT	(0, 17, 'LOC')
BEAUMONT GROVE	(0, 14, 'LOC')
BEAUMONT ROAD	(0, 13, 'LOC')
BEAUMONT ROAD	(0, 13, 'LOC')
BEAUMONT ROAD	(0, 13, 'LOC')
BEAUVALE PARK	(0, 13, 'LOC')
BEAVER CLOSE	(0, 12, 'LOC')
BEAVER ROW	(0, 10, 'LOC')
BEAVER STREET	(0, 13, 'LOC')
BEDFORD LANE	(0, 12, 'LOC')
BEDFORD ROW	(0, 11, 'LOC')
BEECH HILL AVENUE	(0, 17, 'LOC')
BEECH HILL DRIVE	(0, 16, 'LOC')
BEECH HILL ROAD	(0, 15, 'LOC')
BEECHLAWN AVENUE	(0, 16, 'LOC')
BEECHLAWN GREEN	(0, 15, 'LOC')
BEECHLAWN GROVE	(0, 15, 'LOC')
BEECHBROOK GROVE	(0, 16, 'LOC')
BEECHDALE MEWS	(0, 14, 'LOC')
BEECHLAWN CLOSE	(0, 15, 'LOC')
BEECHLAWN GROVE	(0, 15, 'LOC')
BEECHMOUNT COURT	(0, 16, 'LOC')
BEECHPARK AVENUE	(0, 16, 'LOC')
BEECHPARK COURT	(0, 15, 'LOC')
BEECHWOOD AVENUE LOWER	(0, 22, 'LOC')
BEECHWOOD AVENUE UPPER	(0, 22, 'LOC')
BEECHWOOD PARK	(0, 14, 'LOC')
BEECHWOOD ROAD	(0, 14, 'LOC')
BEGGAR'S BUSH COURT	(0, 19, 'LOC')
BELCAMP GARDENS	(0, 15, 'LOC')
BELCAMP GREEN	(0, 13, 'LOC')
BELCAMP GROVE	(0, 13, 'LOC')
BELCAMP GROVE	(0, 13, 'LOC')
BELCAMP LANE	(0, 12, 'LOC')
BELCLARE AVENUE	(0, 15, 'LOC')
BELCLARE CRESCENT	(0, 17, 'LOC')
BELCLARE DRIVE	(0, 14, 'LOC')
BELCLARE GREEN	(0, 14, 'LOC')
BELCLARE GROVE	(0, 14, 'LOC')
BELCLARE LAWNS	(0, 14, 'LOC')
BELCLARE PARK	(0, 13, 'LOC')
BELCLARE TERRACE	(0, 16, 'LOC')
BELCLARE WAY	(0, 12, 'LOC')
BELGRAVE AVENUE	(0, 15, 'LOC')
BELGRAVE PLACE	(0, 14, 'LOC')
BELGRAVE ROAD	(0, 13, 'LOC')
BELGRAVE SQUARE EAST	(0, 20, 'LOC')
BELGRAVE SQUARE NORTH	(0, 21, 'LOC')
BELGRAVE SQUARE SOUTH	(0, 21, 'LOC')
BELGRAVE SQUARE WEST	(0, 20, 'LOC')
BELGROVE LAWN	(0, 13, 'LOC')
BELGROVE PARK	(0, 13, 'LOC')
BELGROVE ROAD	(0, 13, 'LOC')
BELGROVE ROAD	(0, 13, 'LOC')
BELLA AVENUE	(0, 12, 'LOC')
BELLA PLACE	(0, 11, 'LOC')
BELLA STREET	(0, 12, 'LOC')
BELLEVILLE AVENUE	(0, 17, 'LOC')
BELLEVUE AVENUE	(0, 15, 'LOC')
BELLEVUE PARK AVENUE	(0, 20, 'LOC')
BELLEVUE PARK INDUSTRIAL ESTATE	(0, 31, 'LOC')
BELLMANS WALK	(0, 13, 'LOC')
BELLS LANE	(0, 10, 'LOC')
BELMONT AVENUE	(0, 14, 'LOC')
BELMONT COURT	(0, 13, 'LOC')
BELMONT GARDENS	(0, 15, 'LOC')
BELMONT PARK	(0, 12, 'LOC')
BELMONT PARK	(0, 12, 'LOC')
BELMONT PLACE	(0, 13, 'LOC')
BELMONT VILLAS	(0, 14, 'LOC')
BELTON PARK AVENUE	(0, 18, 'LOC')
BELTON PARK GARDENS	(0, 19, 'LOC')
BELTON PARK ROAD	(0, 16, 'LOC')
BELTON PARK ROAD	(0, 16, 'LOC')
BELTON PARK VILLAS	(0, 18, 'LOC')
BELVIDERE AVENUE	(0, 16, 'LOC')
BELVIDERE COURT	(0, 15, 'LOC')
BELVEDERE PLACE	(0, 15, 'LOC')
BELVIDERE ROAD	(0, 14, 'LOC')
BELVIEW	(0, 7, 'LOC')
BEN EDAIR ROAD	(0, 14, 'LOC')
BENBULBIN AVENUE	(0, 16, 'LOC')
BENBULBIN ROAD	(0, 14, 'LOC')
BENBURB STREET	(0, 14, 'LOC')
BENBURB STREET	(0, 14, 'LOC')
BENBURB STREET	(0, 14, 'LOC')
BENEAVIN COURT	(0, 14, 'LOC')
BENEAVIN DRIVE	(0, 14, 'LOC')
BENEAVIN PARK	(0, 13, 'LOC')
BENEAVIN ROAD	(0, 13, 'LOC')
BENMADIGAN ROAD	(0, 15, 'LOC')
BENSON STREET	(0, 13, 'LOC')
BERESFORD AVENUE	(0, 16, 'LOC')
BERESFORD GREEN	(0, 15, 'LOC')
BERESFORD LANE	(0, 14, 'LOC')
BERESFORD LAWN	(0, 14, 'LOC')
BERESFORD PLACE	(0, 15, 'LOC')
BERESFORD STREET	(0, 16, 'LOC')
BERKELEY AVENUE	(0, 15, 'LOC')
BERKELEY PLACE	(0, 14, 'LOC')
BERKELEY ROAD	(0, 13, 'LOC')
BERKELEY STREET	(0, 15, 'LOC')
BERRYFIELD CRESCENT	(0, 19, 'LOC')
BERRYFIELD DRIVE	(0, 16, 'LOC')
BERRYFIELD ROAD	(0, 15, 'LOC')
BESSBOROUGH AVENUE	(0, 18, 'LOC')
BESSBOROUGH PARADE	(0, 18, 'LOC')
BETHESDA PLACE	(0, 14, 'LOC')
BETTYGLEN	(0, 9, 'LOC')
BETTYSTOWN AVENUE	(0, 17, 'LOC')
BIGGER ROAD	(0, 11, 'LOC')
BISHOP STREET	(0, 13, 'LOC')
BLACK STREET	(0, 12, 'LOC')
BLACKBERRY LANE	(0, 15, 'LOC')
BLACKDITCH DRIVE	(0, 16, 'LOC')
BLACKDITCH ROAD	(0, 15, 'LOC')
BLACKDITCH ROAD	(0, 15, 'LOC')
BLACKHALL PARADE	(0, 16, 'LOC')
BLACKHALL PLACE	(0, 15, 'LOC')
BLACKHALL STREET	(0, 16, 'LOC')
BLACKHEATH AVENUE	(0, 17, 'LOC')
BLACKHEATH COURT	(0, 16, 'LOC')
BLACKHEATH DRIVE	(0, 16, 'LOC')
BLACKHEATH GARDENS	(0, 18, 'LOC')
BLACKHEATH GROVE	(0, 16, 'LOC')
BLACKHEATH PARK	(0, 15, 'LOC')
BLACKHORSE AVENUE	(0, 17, 'LOC')
BLACKHORSE AVENUE	(0, 17, 'LOC')
BLACKHORSE GROVE	(0, 16, 'LOC')
BLACKPITTS	(0, 10, 'LOC')
BLACKPITTS	(0, 10, 'LOC')
BLACKWATER ROAD	(0, 15, 'LOC')
BLADDER ALLEY	(0, 13, 'LOC')
BLARNEY PARK	(0, 12, 'LOC')
BLESSINGTON COURT	(0, 17, 'LOC')
BLESSINGTON LANE	(0, 16, 'LOC')
BLESSINGTON PLACE	(0, 17, 'LOC')
BLESSINGTON PLACE	(0, 17, 'LOC')
BLESSINGTON STREET	(0, 18, 'LOC')
BLESSINGTON STREET	(0, 18, 'LOC')
BLOOMFIELD AVENUE	(0, 17, 'LOC')
BLOOMFIELD AVENUE	(0, 17, 'LOC')
BLOOMFIELD COTTAGES	(0, 19, 'LOC')
BLOOMFIELD PARK	(0, 15, 'LOC')
BLOOMFIELD PARK	(0, 15, 'LOC')
BLUEBELL AVENUE	(0, 15, 'LOC')
BLUEBELL AVENUE	(0, 15, 'LOC')
BLUEBELL AVENUE	(0, 15, 'LOC')
BLUEBELL LANE	(0, 13, 'LOC')
BLUEBELL ROAD	(0, 13, 'LOC')
BLUEBELL ROAD	(0, 13, 'LOC')
BLUNDEN DRIVE	(0, 13, 'LOC')
BLUNDEN DRIVE	(0, 13, 'LOC')
BLYTHE AVENUE	(0, 13, 'LOC')
BOARDMANS LANE	(0, 14, 'LOC')
BOLTON STREET	(0, 13, 'LOC')
BOLTON STREET	(0, 13, 'LOC')
BOND STREET	(0, 11, 'LOC')
BONHAM STREET	(0, 13, 'LOC')
BONHAM STREET	(0, 13, 'LOC')
BOOLAVOGUE ROAD	(0, 15, 'LOC')
BORRIS COURT	(0, 12, 'LOC')
BOTANIC AVENUE	(0, 14, 'LOC')
BOTANIC PARK	(0, 12, 'LOC')
BOTANIC ROAD	(0, 12, 'LOC')
BOTANIC ROAD	(0, 12, 'LOC')
BOTANIC VILLAS	(0, 14, 'LOC')
BOW BRIDGE	(0, 10, 'LOC')
BOW LANE EAST	(0, 13, 'LOC')
BOW LANE WEST	(0, 13, 'LOC')
BOW STREET	(0, 10, 'LOC')
BOW STREET	(0, 10, 'LOC')
BOYNE LANE	(0, 10, 'LOC')
BOYNE ROAD	(0, 10, 'LOC')
BOYNE STREET	(0, 12, 'LOC')
BOYNE STREET	(0, 12, 'LOC')
BRABAZON PLACE	(0, 14, 'LOC')
BRABAZON SQUARE	(0, 15, 'LOC')
BRABAZON STREET	(0, 15, 'LOC')
BRACKEN'S LANE	(0, 14, 'LOC')
BRAINBORO TERRACE	(0, 17, 'LOC')
BRAITHWAITE STREET	(0, 18, 'LOC')
THE BRAMBLINGS	(0, 14, 'LOC')
BRANAVILLA	(0, 10, 'LOC')
BRANDON ROAD	(0, 12, 'LOC')
BREGIA ROAD	(0, 11, 'LOC')
BREMEN AVENUE	(0, 13, 'LOC')
BREMEN GROVE	(0, 12, 'LOC')
BREMEN ROAD	(0, 11, 'LOC')
BRENDAN ROAD	(0, 12, 'LOC')
BRIAN AVENUE	(0, 12, 'LOC')
BRIAN BORU AVENUE	(0, 17, 'LOC')
BRIAN BORU STREET	(0, 17, 'LOC')
BRIAN BORU STREET	(0, 17, 'LOC')
BRIAN ROAD	(0, 10, 'LOC')
BRIAN ROAD	(0, 10, 'LOC')
BRIAN TERRACE	(0, 13, 'LOC')
BRIARFIELD GROVE	(0, 16, 'LOC')
BRIARFIELD ROAD	(0, 15, 'LOC')
BRIARFIELD ROAD	(0, 15, 'LOC')
BRIARFIELD VILLAS	(0, 17, 'LOC')
BRICKFIELD DRIVE	(0, 16, 'LOC')
BRICKFIELD LANE	(0, 15, 'LOC')
BRIDE CLOSE	(0, 11, 'LOC')
BRIDE ROAD	(0, 10, 'LOC')
BRIDE STREET	(0, 12, 'LOC')
BRIDE STREET	(0, 12, 'LOC')
BRIDE STREET NEW	(0, 16, 'LOC')
BRIDGE STREET	(0, 13, 'LOC')
BRIDGE STREET LOWER	(0, 19, 'LOC')
BRIDGE STREET UPPER	(0, 19, 'LOC')
BRIDGEFOOT STREET	(0, 17, 'LOC')
BRIDGEFOOT STREET	(0, 17, 'LOC')
BRIGHTON AVENUE	(0, 15, 'LOC')
BRIGHTON AVENUE	(0, 15, 'LOC')
BRIGHTON GARDENS	(0, 16, 'LOC')
BRIGHTON GREEN	(0, 14, 'LOC')
BRIGHTON ROAD	(0, 13, 'LOC')
BRIGHTON SQUARE EAST	(0, 20, 'LOC')
BRIGHTON SQUARE SOUTH	(0, 21, 'LOC')
BRIGHTON SQUARE WEST	(0, 20, 'LOC')
BRITAIN PLACE	(0, 13, 'LOC')
BRITAIN PLACE	(0, 13, 'LOC')
LITTLE BRITAIN STREET	(0, 21, 'LOC')
BRITAIN QUAY	(0, 12, 'LOC')
BROADSTONE	(0, 10, 'LOC')
BROADSTONE AVENUE	(0, 17, 'LOC')
BROADSTONE PLACE	(0, 16, 'LOC')
BROOKFIELD	(0, 10, 'LOC')
BROOKFIELD	(0, 10, 'LOC')
BROOKFIELD	(0, 10, 'LOC')
BROOKFIELD ROAD	(0, 15, 'LOC')
BROOKFIELD STREET	(0, 17, 'LOC')
BROOKVALE ROAD	(0, 14, 'LOC')
BROOKVILLE CRESCENT	(0, 19, 'LOC')
BROOKVILLE	(0, 10, 'LOC')
BROOKVILLE PARK	(0, 15, 'LOC')
BROOKVILLE PARK	(0, 15, 'LOC')
BROOKWOOD AVENUE	(0, 16, 'LOC')
BROOKWOOD AVENUE	(0, 16, 'LOC')
BROOKWOOD CRESCENT	(0, 18, 'LOC')
BROOKWOOD DRIVE	(0, 15, 'LOC')
BROOKWOOD GLEN	(0, 14, 'LOC')
BROOKWOOD GROVE	(0, 15, 'LOC')
BROOKWOOD HEIGHTS	(0, 17, 'LOC')
BROOKWOOD LAWN	(0, 14, 'LOC')
BROOKWOOD MEADOW	(0, 16, 'LOC')
BROOKWOOD PARK	(0, 14, 'LOC')
BROOKWOOD RISE	(0, 14, 'LOC')
BROOKWOOD ROAD	(0, 14, 'LOC')
BROOKWOOD ROAD	(0, 14, 'LOC')
BROOMBRIDGE CLOSE	(0, 17, 'LOC')
BROOMBRIDGE ROAD	(0, 16, 'LOC')
BROWN STREET NORTH	(0, 18, 'LOC')
BROWN STREET SOUTH	(0, 18, 'LOC')
BRUNSWICK PLACE	(0, 15, 'LOC')
BRUNSWICK STREET NORTH	(0, 22, 'LOC')
BRUNSWICK STREET NORTH	(0, 22, 'LOC')
BRUNSWICK STREET NORTH	(0, 22, 'LOC')
